Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
3,0,1,85575,City0IVTEC,11850000,1,1,2010
2,0,1,45321,Passo,85000000,1,1,2007
9,0,2,10000,323,55000000,1,1,1981
2,0,1,77000,Corrolla0Altis,1110000,1,1,2010
1,0,2,89000,Alto,5700000,1,1,2011
2,1,4,83000,Prius,2830000,1,1,2015
1,0,2,65000,Cultus0VXR,740000,1,1,2011
1,0,1,34589,Alto,320000,1,1,2009
1,0,1,138000,Liana,5850000,1,1,2007
1,0,1,111000,Cultus0VXR,75000000,1,1,2011
1,0,2,60000,Cultus0VXL,6850000,1,1,2009
3,0,1,60000,City0IVTEC,10850000,1,1,2009
2,0,1,80000,Corolla0GLI,1400000,1,1,2011
1,0,2,45648,Mehran0VX,145000,1,1,1991
3,0,1,59000,Civic0Prosmetic,1710000,1,1,2014
2,0,2,8000000,Corolla0XLI,8500000,1,1,2007
2,0,1,11750,Corrolla0Altis,21750000,1,1,2016
2,0,2,13700,Other,105000,1,1,1978
3,0,1,12345,Other,4850000,1,1,2007
4,1,1,67000,Mira,1100000,1,1,2014
1,0,1,34538,Khyber,2850000,1,1,1999
3,0,1,80000,City0IVTEC,10850000,1,1,2010
13,0,1,100042,Racer,210000,1,1,1994
1,0,2,45321,Mehran0VX,1700000,1,1,1989
2,0,1,70000,Corolla0GLI,12500000,1,1,2010
2,0,1,118000,Corrolla0Altis,1320000,1,1,2011
3,0,1,132000,Civic0Prosmetic,1000000,1,1,2007
1,1,1,34533,Other,11500000,1,1,2008
3,0,2,45321,City0IDSI,7850000,1,1,2006
10,0,2,6000000,Sunny,220000,1,1,1991
1,0,1,567596,Alto,4500000,1,1,2007
3,0,2,200000,Accord,2850000,1,1,1986
1,0,2,70000,Cultus0VXR,825000,1,1,2011
2,1,4,83000,Prius,2830000,1,1,2015
3,0,1,54000,Zest,85000000,1,1,2011
10,0,1,45321,AD0Van,930000,1,1,2007
1,1,1,26000,APV,12750000,1,1,2014
3,1,1,80000,Civic0Prosmetic,7850000,1,1,2003
2,0,1,160000,Vitz,9850000,1,1,2012
2,0,1,45321,Passo,85500000,1,1,2007
1,0,2,786110,Khyber,210000,1,1,1996
1,0,2,80000,Cultus0VXR,8500000,1,1,2009
1,0,2,23454,FX,6850000,1,1,1986
1,0,2,20000,Cultus0VXR,520000,1,1,2006
10,0,1,103400,March,5000000,1,1,2008
3,0,1,17000,Civic0EXi,7000000,1,1,2004
1,0,2,82000,Cultus0VXL,5850000,1,1,2006
4,0,1,91000,Cuore,3500000,1,1,2000
1,0,2,45321,Khyber,225000,1,1,1996
2,0,1,45000,Corolla0XLI,1625000,1,1,2014
1,0,1,86580,Bolan,5000000,1,1,2007
1,0,4,45321,Khyber,2850000,1,1,1991
5,0,2,345354,Pride,118000,1,1,1996
1,0,1,67000,Alto,535000,1,1,2008
1,0,2,57575,Bolan,168000,1,1,1986
3,0,1,200000,City0IDSI,6500000,1,1,2005
5,0,2,75236,Sportage,220000,1,1,2000
2,0,2,170000,Other,320000,1,1,1988
3,0,1,45321,Civic0EXi,85000000,1,1,1985
4,0,2,78000,Terios0Kid,7000000,1,1,2000
4,0,1,186000,Cuore,5850000,1,1,2010
2,0,1,99600,Corolla0GLI,1525000,1,1,2012
8,0,2,88000,Santro,440000,1,1,2006
3,0,4,69000,Fit,1730000,1,1,2013
2,0,4,120000,Prius,2000000,1,1,2014
3,0,2,1254,Civic0EXi,545000,1,1,2001
1,0,2,45321,Alto,425000,1,1,2005
1,0,2,11111,Khyber,1700000,1,1,1998
1,0,1,70000,Cultus0VXR,830000,1,1,2012
1,0,2,46234,Mehran0VX,15500000,1,1,1994
1,0,2,52345,Mehran0VX,120000,1,1,1992
1,1,2,53000,Khyber,130000,1,1,1992
1,0,2,75236,Mehran0VXR,1850000,1,1,1992
1,0,2,60000,Khyber,230000,1,1,1997
4,0,2,65456,Cuore,293000,1,1,2002
4,0,1,49000,Mira,1100000,1,1,2013
1,0,1,75236,Margalla,300000,1,1,1993
1,0,1,50000,FX,55000000,1,1,1984
2,1,2,10000,Corolla0GLI,6850000,1,1,1999
11,0,1,16900,V2,9750000,1,1,2016
13,0,2,45321,Racer,225000,1,1,1994
1,0,2,50000,Mehran0VX,3700000,1,1,2012
1,0,1,35955,Alto,510000,1,1,2008
3,0,1,131389,City0Aspire,930000,1,1,2006
2,0,1,75236,Corolla0XLI,2500000,1,1,1980
1,0,4,23452,Mehran0VX,310000,1,1,2006
1,0,1,116500,Alto,425000,1,1,2006
1,1,2,34000,Alto,75000000,1,1,2011
3,0,2,1160000,Civic0VTi0Oriel,8500000,1,1,2001
1,0,2,112000,Cultus0VXL,5850000,1,1,2018
2,0,1,72000,Vitz,12750000,1,1,2012
4,0,2,200000,Charade,130000,1,1,1983
8,0,2,80000,Santro,365000,1,1,2006
2,0,1,30000,Corolla0GLI,300000,1,2,2012
1,0,2,454563,Cultus0VXL,540000,1,1,2005
3,0,1,25000,BR-V,5000000,1,2,2013
8,0,1,10010,Santro,330000,1,1,2005
1,0,2,110000,Cultus0VXR,510000,1,1,2000
10,0,1,30000,Dayz0Highway0Star,14500000,1,1,2016
1,0,1,82000,Kei,9850000,1,1,2015
2,0,1,97000,Probox,1100000,1,1,2007
4,0,2,45321,Charade,130000,1,1,1991
4,1,1,127111,Hijet,7850000,1,1,2012
2,0,2,786786,86,1850000,1,1,1986
1,0,2,55000,Alto,300000,1,1,2012
1,0,2,99000,Mehran0VX,315000,1,1,2007
4,0,1,75000,Hijet,6850000,1,1,2010
1,0,2,75236,Mehran0VX,165000,1,1,1991
3,0,1,45321,Civic0VTi0Oriel0Prosmatec,175000000,1,1,2013
1,0,2,500000,Bolan,4850000,1,1,2007
1,0,2,75236,Khyber,265000,1,1,1999
4,0,1,75236,Cuore,55000000,1,1,2006
4,0,1,20000,Mira,12850000,1,1,2015
3,0,1,82500,Civic0VTi0Oriel0Prosmatec,1079000,1,1,2007
1,0,2,140000,Cultus0VXR,530000,1,1,2006
1,0,2,200000,FX,8500000,1,1,1983
4,0,2,1525555,Charade,1500000,1,1,1984
1,0,1,78000,Alto,55000000,1,1,2008
1,0,1,33937,Other,2850000,1,1,1993
3,0,1,126000,City0IDSI,8500000,1,1,2005
4,0,2,45321,Charade,245000,1,1,1986
1,0,2,155000,Baleno,5000000,1,1,2005
1,0,1,96000,Alto,1040000,1,1,2015
1,0,2,112000,Alto,5850000,1,1,2010
3,0,1,150000,Civic0EXi,8500000,1,1,2001
2,0,1,60000,Passo,9750000,1,1,2008
4,0,2,150000,Cuore,340000,1,1,2007
2,0,1,45321,Other,5000000,1,1,1982
4,0,2,95000,Cuore,465000,1,1,2005
4,0,2,85236,Cuore,1500000,1,1,1993
2,0,1,74000,Vitz,910000,1,1,2005
2,0,1,25000,Yaris,2850000,1,2,2015
2,0,4,56000,Aygo,19750000,1,1,2014
2,0,1,75236,Vitz,930000,1,1,2007
1,0,1,62000,Cultus0VXR,8850000,1,1,2014
2,0,1,74000,Rush,18500000,1,1,2007
4,0,1,80000,Hijet,725000,1,1,2015
1,1,2,356425,Margalla,240000,1,1,1993
1,0,2,52000,FX,140000,1,1,1985
4,0,1,45321,Mira,965000,1,1,2014
1,0,2,75236,Mehran0VX,120000,1,1,1989
2,0,4,120000,Prius,2000000,1,1,2010
3,0,1,89000,Civic0VTi0Oriel0Prosmatec,2325000,1,1,2016
10,0,1,44000,Dayz,1120000,1,1,2015
2,0,1,125000,Vitz,85000000,1,1,2008
1,0,1,57000,Alto,9850000,1,1,2016
2,0,1,35000,Fortuner,210000,1,2,2011
4,1,1,29800,Mira,1140000,1,1,2015
4,0,2,45321,Charade,8500000,2,1,1984
2,1,1,45321,Passo,7850000,1,1,2007
2,0,2,99000,Corolla0GLI,1135000,1,1,2009
1,0,1,82000,Cultus0VXR,7850000,1,1,2012
1,0,2,75236,Bolan,365000,1,1,1997
1,0,1,45321,Every,9850000,1,1,2014
4,0,1,75236,Other,200000,1,1,1986
2,0,1,120000,Corolla0XLI,8500000,1,1,2006
1,0,2,77000,Alto,405000,1,1,2004
4,1,1,38000,Mira,12500000,1,1,2014
1,0,2,45321,Cultus0VXR,6500000,1,1,2008
1,0,2,95410,Cultus0VXR,6850000,1,1,2012
1,0,2,82000,Alto,535000,1,1,2008
1,0,2,45321,Alto,465000,1,1,2007
1,0,2,12500,Liana,8500000,1,1,2008
4,0,1,22500,Mira,12500000,1,1,2016
3,0,1,150000,Civic0EXi,820000,1,1,2004
1,0,1,45321,Alto,4500000,1,1,2007
4,0,1,92000,Cuore,8500000,1,1,2006
2,0,1,45321,Camry,16500000,1,1,2006
2,0,1,150000,Corrolla0Altis,155000000,1,1,2011
1,0,1,44000,Cultus0VXR,8850000,1,1,2013
2,0,2,270000,Corolla0XLI,85000000,1,1,2006
1,1,1,68500,Swift,1165000,1,1,2011
2,1,1,35000,Prado,755000000,1,1,2013
1,0,2,454563,Alto,510000,1,1,2005
2,0,2,12345,Corolla0XE,5700000,1,1,1998
1,0,2,74000,Swift,215000,1,1,1989
2,1,1,36000,Aqua,16500000,1,1,2015
1,0,2,48000,Cultus0VXL,5700000,1,1,2006
1,0,1,45321,Mehran0VXR,400000,1,1,2010
3,1,2,153000,Civic0EXi,4500000,1,1,1998
2,0,1,76000,Vitz,10850000,1,1,2009
8,0,2,45321,Santro,5000000,1,1,2001
10,0,1,15000,Dayz,1200000,1,1,2015
1,0,2,1515151,Mehran0VX,315000,1,1,2008
2,1,2,105000,Corolla0Assista,1125000,1,1,2002
2,0,1,26000,Corolla0GLI,1810000,1,1,2016
3,0,2,75236,City0IVTEC,520000,1,1,2000
8,0,2,70000,Santro,2700000,1,1,2001
3,0,1,45321,Civic0EXi,3850000,1,1,1999
3,0,1,117000,City0IDSI,8850000,1,1,2007
1,0,1,52000,Mehran0VX,2850000,1,1,1998
2,1,4,42850,Aqua,18500000,1,1,2015
4,1,1,8400,Mira,1225000,1,1,2015
3,0,1,74000,Civic0VTi0Oriel0Prosmatec,13750000,1,1,2011
2,1,1,9000,Corrolla0Altis,2835000,1,1,2017
4,1,1,35000,Mira,12500000,1,1,2013
2,0,1,45321,Sera,5750000,1,1,1990
3,0,1,44000,Civic0VTi0Oriel0Prosmatec,16850000,1,1,2012
1,0,1,87000,Cultus0VXR,6850000,1,1,2009
3,0,2,45321,City0IDSI,7750000,1,1,2006
