Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
3,0,1,70000,Civic VTi Oriel Prosmatec,1350000,2,1,2009
4,1,1,67000,Mira,1100000,1,1,2014
3,0,1,80000,City IVTEC,1080000,1,1,2010
13,0,1,100042,Racer,210000,1,1,1994
1,0,2,100000,Mehran VX,170000,1,1,1989
2,0,1,70000,Corolla GLI,1250000,1,1,2010
2,0,1,118000,Corrolla Altis,1320000,1,1,2011
3,0,1,132000,Civic Prosmetic,1000000,1,1,2007
3,0,2,100000,City IDSI,785000,1,1,2006
10,0,2,6000000,Sunny,220000,1,1,1991
3,0,2,200000,Accord,290000,1,1,1986
1,0,2,70000,Cultus VXR,825000,1,1,2011
2,1,4,83000,Prius,2830000,1,1,2015
1,0,2,138000,Alto,430000,2,1,2010
3,0,1,54000,Zest,950000,1,1,2011
10,0,1,100000,AD Van,930000,1,1,2007
1,1,1,26000,APV,1275000,1,1,2014
3,1,1,80000,Civic Prosmetic,760000,1,1,2003
2,0,1,160000,Vitz,980000,1,1,2012
2,0,1,100000,Passo,855000,1,1,2007
1,0,2,786110,Khyber,210000,1,1,1996
1,0,2,80000,Cultus VXR,600000,1,1,2009
1,0,2,20000,Cultus VXR,520000,1,1,2006
10,0,1,103400,March,500000,1,1,2008
3,0,1,17000,Civic EXi,700000,1,1,2004
1,0,2,82000,Cultus VXL,580000,1,1,2006
4,0,1,91000,Cuore,350000,1,1,2000
1,0,2,100000,Khyber,225000,1,1,1996
2,0,1,45000,Corolla XLI,1625000,1,1,2014
1,0,1,86580,Bolan,500000,1,1,2007
1,0,4,100000,Khyber,260000,1,1,1991
1,0,1,67000,Alto,535000,1,1,2008
3,0,1,200000,City IDSI,650000,1,1,2005
2,0,2,170000,Other,320000,1,1,1988
3,0,1,1234,Civic EXi,95000,1,1,1985
4,0,2,78000,Terios Kid,700000,1,1,2000
4,0,1,186000,Cuore,585000,1,1,2010
2,0,1,99600,Corolla GLI,1525000,1,1,2012
8,0,2,88000,Santro,440000,1,1,2006
1,0,2,12345,Carry,150000,1,1,1981
3,0,4,69000,Fit,1730000,1,1,2013
2,0,4,120000,Prius,2000000,1,1,2014
3,0,2,1254,Civic EXi,545000,1,1,2001
1,0,2,100000,Alto,425000,1,1,2005
1,0,2,11111,Khyber,170000,1,1,1998
1,0,1,70000,Cultus VXR,830000,1,1,2012
1,1,2,53000,Khyber,130000,1,1,1992
1,0,2,60000,Khyber,230000,1,1,1997
4,0,1,49000,Mira,1100000,1,1,2013
1,0,1,50000,FX,55000,1,1,1984
2,1,2,10000,Corolla GLI,685000,1,1,1999
11,0,1,16900,V2,975000,1,1,2016
13,0,2,100000,Racer,225000,1,1,1994
1,0,2,50000,Mehran VX,370000,1,1,2012
1,0,1,35955,Alto,510000,1,1,2008
3,0,1,131389,City Aspire,930000,1,1,2006
1,0,4,786,Mehran VX,310000,1,1,2006
1,0,1,116500,Alto,425000,1,1,2006
1,1,2,34000,Alto,750000,1,1,2011
3,0,2,1160000,Civic VTi Oriel,600000,1,1,2001
1,0,2,112000,Cultus VXL,560000,1,1,2018
2,0,1,72000,Vitz,1275000,1,1,2012
